Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 262, Reward: 804.9687, Test: 635.9830 [229.22], Avg: 275.9855 (0.07)
Ep: 263, Reward: 704.4523, Test: 578.8206 [209.79], Avg: 279.1978 (0.07)
Ep: 264, Reward: 730.3430, Test: 589.1867 [229.42], Avg: 282.0894 (0.07)
Ep: 265, Reward: 696.1371, Test: 636.4246 [234.64], Avg: 284.3239 (0.07)
Ep: 266, Reward: 760.2238, Test: 602.6433 [257.04], Avg: 286.9956 (0.07)
Ep: 267, Reward: 813.8378, Test: 658.6939 [210.31], Avg: 290.1606 (0.07)
Ep: 268, Reward: 600.9038, Test: 540.5156 [267.08], Avg: 291.4327 (0.07)
Ep: 269, Reward: 690.9725, Test: 709.5632 [199.02], Avg: 294.1248 (0.07)
Ep: 270, Reward: 745.5942, Test: 529.1080 [289.64], Avg: 294.6220 (0.06)
Ep: 271, Reward: 686.3816, Test: 673.4982 [257.99], Avg: 296.6749 (0.06)
Ep: 272, Reward: 809.9070, Test: 675.5316 [227.38], Avg: 300.0209 (0.06)
Ep: 273, Reward: 645.8759, Test: 752.7064 [165.27], Avg: 303.5324 (0.06)
Ep: 274, Reward: 791.2167, Test: 592.1174 [217.23], Avg: 304.4256 (0.06)
Ep: 275, Reward: 714.8760, Test: 787.9892 [195.12], Avg: 307.8731 (0.06)
Ep: 276, Reward: 845.5105, Test: 648.5814 [275.96], Avg: 309.6730 (0.06)
Ep: 277, Reward: 668.9818, Test: 768.2290 [176.77], Avg: 313.1083 (0.06)
Ep: 278, Reward: 650.4757, Test: 680.8197 [242.92], Avg: 315.6585 (0.06)
Ep: 279, Reward: 814.9671, Test: 834.6471 [84.31], Avg: 318.9113 (0.06)
Ep: 280, Reward: 761.0893, Test: 722.5676 [188.94], Avg: 320.9723 (0.06)
Ep: 281, Reward: 722.8424, Test: 688.1944 [196.29], Avg: 323.8865 (0.06)
Ep: 282, Reward: 682.7317, Test: 525.5789 [261.12], Avg: 323.5432 (0.06)
Ep: 283, Reward: 637.3903, Test: 626.6872 [223.84], Avg: 325.4355 (0.06)
Ep: 284, Reward: 679.0905, Test: 584.1575 [247.98], Avg: 326.0620 (0.06)
Ep: 285, Reward: 754.1943, Test: 642.9307 [229.16], Avg: 327.9827 (0.06)
Ep: 286, Reward: 788.7046, Test: 748.1158 [158.95], Avg: 331.2997 (0.06)
Ep: 287, Reward: 718.6799, Test: 589.0605 [243.99], Avg: 332.4315 (0.05)
Ep: 288, Reward: 663.9538, Test: 852.8881 [82.28], Avg: 337.7025 (0.05)
Ep: 289, Reward: 816.6975, Test: 811.3170 [142.48], Avg: 342.4558 (0.05)
Ep: 290, Reward: 795.1577, Test: 672.8370 [211.52], Avg: 344.2056 (0.05)
Ep: 291, Reward: 764.4466, Test: 873.7493 [23.67], Avg: 350.7994 (0.05)
