Iteration 1
Ep: 1-71, Best score: 885.0224, Min: 755.6817, Avg: 825.4445
Ep: 1-70, Best score: 898.5809, Min: 587.7780, Avg: 832.7534
Ep: 1-69, Best score: 899.7517, Min: 713.4124, Avg: 828.9596
Ep: 1-68, Best score: 893.0329, Min: 666.3312, Avg: 824.5530
Ep: 1-67, Best score: 891.8070, Min: 719.6140, Avg: 823.0944
Ep: 1-66, Best score: 901.1977, Min: 716.9660, Avg: 840.1484
Ep: 1-65, Best score: 902.1363, Min: 651.7000, Avg: 809.8614
Ep: 1-64, Best score: 881.9972, Min: 716.0285, Avg: 806.5739
Ep: 1-63, Best score: 896.0054, Min: 620.7248, Avg: 799.4303
Ep: 1-62, Best score: 900.8330, Min: 661.2066, Avg: 831.6908
Ep: 1-61, Best score: 896.0741, Min: 750.4195, Avg: 833.9888
Ep: 1-60, Best score: 909.5250, Min: 752.3063, Avg: 837.3364
Ep: 1-59, Best score: 894.7205, Min: 690.8894, Avg: 828.5891
Ep: 1-58, Best score: 898.2914, Min: 741.6911, Avg: 845.6964
Ep: 1-57, Best score: 881.1753, Min: 665.6967, Avg: 817.1178
Ep: 1-56, Best score: 890.0935, Min: 654.6892, Avg: 812.1140
Ep: 1-55, Best score: 905.2618, Min: 635.8844, Avg: 800.4884
Ep: 1-54, Best score: 886.2649, Min: 655.8570, Avg: 795.0939
Ep: 1-53, Best score: 901.3865, Min: 693.3582, Avg: 814.5215
Ep: 1-52, Best score: 906.3249, Min: 714.1412, Avg: 848.8950
Ep: 1-51, Best score: 884.8164, Min: 623.7039, Avg: 778.5416
Ep: 1-50, Best score: 896.4332, Min: 627.5250, Avg: 795.5471
Ep: 1-49, Best score: 893.3334, Min: 662.1420, Avg: 807.6046
Ep: 1-48, Best score: 886.7323, Min: 697.1761, Avg: 788.1553
Ep: 1-47, Best score: 869.4358, Min: 718.2490, Avg: 791.8664
Ep: 1-46, Best score: 888.6080, Min: 572.5439, Avg: 816.6191
Ep: 1-45, Best score: 880.3523, Min: 660.7011, Avg: 779.6624
Ep: 1-44, Best score: 886.4106, Min: 570.2073, Avg: 775.4217
Ep: 1-43, Best score: 885.1285, Min: 606.3054, Avg: 761.9861
Ep: 1-42, Best score: 894.9023, Min: 669.2478, Avg: 797.2070
Ep: 1-41, Best score: 864.3661, Min: 502.3761, Avg: 741.9478
Ep: 1-40, Best score: 889.0267, Min: 662.5821, Avg: 832.4958
Ep: 1-39, Best score: 896.0708, Min: 545.0034, Avg: 793.9852
Ep: 1-38, Best score: 883.6809, Min: 600.8308, Avg: 755.3347
Ep: 1-37, Best score: 867.4568, Min: 487.1214, Avg: 769.4242
Ep: 1-36, Best score: 890.9761, Min: 654.3797, Avg: 791.2760
Ep: 1-35, Best score: 877.1637, Min: 634.1415, Avg: 766.6632
Ep: 1-34, Best score: 882.8391, Min: 633.5304, Avg: 774.1412
Ep: 1-33, Best score: 881.2454, Min: 529.4857, Avg: 776.5883
