Ep: 1-97, Best score: 196.1672, Min: 40.3509, Avg: 118.6535
Ep: 1-96, Best score: 59.5745, Min: 2.3392, Avg: 32.5004
Ep: 1-95, Best score: 121.8845, Min: 50.0000, Avg: 95.4871
Ep: 1-94, Best score: 199.3421, Min: 29.0323, Avg: 113.7082
Ep: 1-93, Best score: 111.9205, Min: 2.3102, Avg: 29.7717
Ep: 1-92, Best score: 126.8041, Min: 19.3182, Avg: 68.8153
Ep: 1-91, Best score: 93.8776, Min: 45.7627, Avg: 67.0931
Ep: 1-90, Best score: 136.7491, Min: 27.6596, Avg: 87.8112
Ep: 1-89, Best score: 140.8759, Min: 72.7575, Avg: 91.0912
Ep: 1-88, Best score: 147.0588, Min: 43.7126, Avg: 102.9064
Ep: 1-87, Best score: 117.5439, Min: 57.5342, Avg: 96.8666
Ep: 1-86, Best score: 130.5195, Min: 51.3944, Avg: 96.5134
Ep: 1-85, Best score: 108.4806, Min: 17.8248, Avg: 71.0627
Ep: 1-84, Best score: 123.7762, Min: 29.6296, Avg: 84.4070
Ep: 1-83, Best score: 145.6140, Min: 46.8750, Avg: 84.6769
Ep: 1-82, Best score: 132.9749, Min: 69.3548, Avg: 94.7328
Ep: 1-81, Best score: 133.4495, Min: 65.3543, Avg: 105.2106
Ep: 1-80, Best score: 112.0253, Min: 33.8028, Avg: 77.9872
Ep: 1-79, Best score: 116.3009, Min: 5.4422, Avg: 84.1734
Ep: 1-78, Best score: 160.8696, Min: 4.7904, Avg: 89.4190
Ep: 1-77, Best score: 167.9739, Min: 4.1009, Avg: 98.5762
Ep: 1-76, Best score: 155.0336, Min: 54.8387, Avg: 111.0580
Ep: 1-75, Best score: 119.1781, Min: 66.1538, Avg: 98.9974
Ep: 1-74, Best score: 132.1429, Min: 18.9591, Avg: 88.4376
Ep: 1-73, Best score: 89.4737, Min: 49.0066, Avg: 68.0605
Ep: 1-72, Best score: 125.1908, Min: 26.1538, Avg: 77.7563
Ep: 1-71, Best score: 114.5594, Min: 8.7613, Avg: 61.3321
Ep: 1-70, Best score: 110.5263, Min: 32.8904, Avg: 86.4248
Ep: 1-69, Best score: 139.5833, Min: 2.4845, Avg: 83.5354
Ep: 1-68, Best score: 123.1405, Min: 38.3648, Avg: 94.2496
Ep: 1-67, Best score: 131.6176, Min: 38.9831, Avg: 75.5206
